frame,P,pcoordx,pcoordy,r,s,t,w,rr,ss,tt,ww
0,20,-0.000000,-0.000000,166.944458,-165.888885,0.500000,0.500000,498.500000,498.500000,-0.333333,-0.166667
0,20,0.333333,-0.000000,167.277786,-166.222229,1.166667,-0.166667,498.500000,499.500000,-0.333333,-0.166667
0,20,-0.000000,0.333333,166.944458,-165.888885,0.166667,0.833333,499.500000,498.500000,-0.333333,-0.166667
0,20,0.333333,0.333333,167.277786,-166.222229,0.833333,0.166667,499.500000,499.500000,-0.333333,-0.166667
0,20,-0.000000,0.666667,166.944458,-165.888885,-0.166667,1.166667,500.500000,498.500000,-0.333333,-0.166667
0,20,0.333333,0.666667,167.277786,-166.222229,0.500000,0.500000,500.500000,499.500000,-0.333333,-0.166667
0,20,0.666667,-0.000000,167.611115,-166.555557,1.166667,-0.166667,498.500000,500.500000,-0.333333,-0.166667
0,20,0.666667,0.333333,167.611115,-166.555557,0.833333,0.166667,499.500000,500.500000,-0.333333,-0.166667
0,20,0.666667,0.666667,167.611115,-166.555557,0.500000,0.500000,500.500000,500.500000,-0.333333,-0.166667
5,20,0.222656,0.110677,333.333344,416.666656,1.000000,1.000000,415.500000,332.500000,-0.333333,-0.166667
5,20,0.555990,0.110677,333.333344,416.666656,-1.000000,1.000000,415.500000,333.500000,-0.333333,-0.166667
5,20,0.889323,0.110677,333.333344,416.666656,-1.000000,1.000000,415.500000,334.500000,-0.333333,-0.166667
5,20,0.222656,0.444011,333.333344,416.666656,1.000000,1.000000,416.500000,332.500000,-0.333333,-0.166667
5,20,0.555990,0.444011,333.333344,416.666656,-1.000000,1.000000,416.500000,333.500000,-0.333333,-0.166667
5,20,0.222656,0.777344,333.333344,416.666656,1.000000,-1.000000,417.500000,332.500000,-0.333333,-0.166667
5,20,0.555990,0.777344,333.333344,416.666656,-1.000000,-1.000000,417.500000,333.500000,-0.333333,-0.166667
5,20,0.889323,0.444011,333.333344,416.666656,-1.000000,1.000000,416.500000,334.500000,-0.333333,-0.166667
5,20,0.889323,0.777344,333.333344,416.666656,-1.000000,-1.000000,417.500000,334.500000,-0.333333,-0.166667
8,54,-0.000000,0.222656,500.000000,583.333313,1.000000,1.000000,582.500000,498.500000,0.000000,0.166667
8,54,0.333333,0.222656,500.000000,583.333313,1.000000,1.000000,582.500000,499.500000,0.000000,0.166667
8,54,-0.000000,0.555990,500.000000,583.333313,1.000000,-1.000000,583.500000,498.500000,0.000000,0.166667
8,54,0.333333,0.555990,500.000000,583.333313,1.000000,-1.000000,583.500000,499.500000,0.000000,0.166667
8,54,0.666667,0.222656,500.000000,583.333313,-1.000000,1.000000,582.500000,500.500000,0.000000,0.166667
8,54,0.666667,0.555990,500.000000,583.333313,-1.000000,-1.000000,583.500000,500.500000,0.000000,0.166667
8,54,-0.000000,0.889323,500.000000,583.333313,1.000000,-1.000000,584.500000,498.500000,0.000000,0.166667
8,54,0.333333,0.889323,500.000000,583.333313,1.000000,-1.000000,584.500000,499.500000,0.000000,0.166667
8,54,0.666667,0.889323,500.000000,583.333313,-1.000000,-1.000000,584.500000,500.500000,0.000000,0.166667
10,59,0.000000,0.000000,375.000000,625.000000,1.000000,1.000000,623.500000,373.500000,-0.250000,0.250000
10,59,0.333333,0.000000,375.000000,625.000000,1.000000,1.000000,623.500000,374.500000,-0.250000,0.250000
10,59,0.666667,0.000000,375.000000,625.000000,-1.000000,1.000000,623.500000,375.500000,-0.250000,0.250000
10,59,0.000000,0.333333,375.000000,625.000000,1.000000,1.000000,624.500000,373.500000,-0.250000,0.250000
10,59,0.000000,0.666667,375.000000,625.000000,1.000000,-1.000000,625.500000,373.500000,-0.250000,0.250000
10,59,0.333333,0.333333,375.000000,625.000000,1.000000,1.000000,624.500000,374.500000,-0.250000,0.250000
10,59,0.666667,0.333333,375.000000,625.000000,-1.000000,1.000000,624.500000,375.500000,-0.250000,0.250000
10,59,0.333333,0.666667,375.000000,625.000000,1.000000,-1.000000,625.500000,374.500000,-0.250000,0.250000
10,59,0.666667,0.666667,375.000000,625.000000,-1.000000,-1.000000,625.500000,375.500000,-0.250000,0.250000
